Depth,RES1,RES2,RES3A,RES3B,RES3C,RES3D,RES3E,RES3F,RES4,RES5,RES6,COM1,COM2,COM3,COM4,COM5,COM6,COM7,COM8,COM9,COM10,IND1,IND2,IND3,IND4,IND5,IND6,AGR1,REL1,GOV1,GOV2,EDU1,EDU2
0,13,9.5,13.5,13.5,13.5,13.5,13.5,13.5,0,0,0,1,0,0,2,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,16,44.5,15.5,15.5,15.5,15.5,15.5,15.5,3,7,7,9,5,9,11,11,0,11,9,2,3,10,9,13,10,13,22,6,10,5,7,5,5
2,19.5,63.5,22.5,22.5,22.5,22.5,22.5,22.5,5,10,10,14,8,12,16,11,0,12,11,4,5,12,14,14,14,14,31,11,11,8,10,7,7
3,27,73.5,25.5,25.5,25.5,25.5,25.5,25.5,6,14,14,16,11,13,22,12,20,13,12,5,6,15,17,19,18,19,37,15,11,13,11,9,9
4,29,78.5,28.5,28.5,28.5,28.5,28.5,28.5,7,15,15,18,13,16,28,13,25,14,14,5,7,19,22,22,22,22,43,19,12,14,12,9,9
5,30,79.5,32,32,32,32,32,32,9,15,15,20,16,19,35,15,30,16,16,5,8,22,26,25,26,25,47,25,12,14,15,10,10
6,40.5,81,38.5,38.5,38.5,38.5,38.5,38.5,12,16,16,23,19,22,38,17,35,17,18,6,10,26,30,28,34,28,50,30,13,15,17,11,11
7,43,82,43,43,43,43,43,43,14,18,18,26,22,25,41,19,40,18,20,8,13,30,32,30,41,30,54,35,14,17,20,13,13
8,43.5,83,45.5,45.5,45.5,45.5,45.5,45.5,18,20,20,30,25,28,44,22,43,20,22,10,17,35,35,33,42,33,57,41,14,19,23,15,15
9,45,84,48,48,48,48,48,48,21,23,23,34,29,32,47,24,47,22,26,12,21,39,37,34,42,34,61,46,15,22,27,17,17
10,46,85,49.5,49.5,49.5,49.5,49.5,49.5,26,26,26,38,32,35,50,28,50,24,29,15,25,42,39,36,45,36,63,51,17,26,31,20,20
11,47,86,51,51,51,51,51,51,31,30,30,42,37,39,54,31,53,27,33,20,30,48,43,39,47,39,64,57,19,31,35,24,24
12,47.5,87.5,52,52,52,52,52,52,36,34,34,47,41,43,57,34,55,30,37,24,35,50,46,40,49,40,65,63,24,37,40,28,28
13,49,88.5,54,54,54,54,54,54,41,38,38,51,45,47,59,37,57,34,41,29,41,51,48,42,50,42,67,70,30,44,44,33,33
14,50,89.5,55,55,55,55,55,55,46,42,42,55,49,50,62,40,60,37,45,35,47,53,50,42,50,42,68,75,38,51,48,39,39
15,50.5,90.5,56,56,56,56,56,56,50,47,47,58,52,54,66,44,60,41,50,42,52,54,51,43,50,43,69,79,45,59,52,45,45
16,51,91.5,57,57,57,57,57,57,54,52,52,61,55,57,68,48,60,44,53,49,58,55,54,43,50,43,70,82,52,65,56,52,52
17,52,93,58,58,58,58,58,58,58,57,57,64,58,61,70,51,60,48,57,56,65,55,55,44,50,44,71,84,58,70,60,59,59
18,52.5,94,59,59,59,59,59,59,62,62,62,67,61,64,72,55,60,51,60,62,71,56,57,44,50,44,72,87,64,74,64,64,64
19,53.5,95,60,60,60,60,60,60,66,67,67,69,63,68,74,59,60,54,63,68,76,56,59,44,50,44,73,89,69,79,68,69,69
20,54,96,61,61,61,61,61,61,70,72,72,71,66,71,76,63,60,56,66,74,81,57,60,44,50,44,74,90,74,83,72,74,74
21,55,97,62,62,62,62,62,62,74,77,77,74,68,75,77,67,60,59,69,80,86,57,62,44,50,44,75,92,78,87,76,79,79
22,55.5,98,63,63,63,63,63,63,78,82,82,76,70,78,78,71,60,61,73,86,91,57,63,45,50,45,76,93,82,91,80,84,84
23,56.5,99,64,64,64,64,64,64,82,87,87,78,71,82,79,75,60,64,76,92,96,58,65,45,50,45,76,95,85,95,84,89,89
24,57,99.5,65,65,65,65,65,65,86,92,92,80,73,85,80,79,60,66,78,98,100,58,66,45,50,45,77,96,88,98,88,94,94
