1.0000000e+01,NaN,NaN,NaN
2.0000000e+01,NaN,NaN,NaN
2.5000000e+01,1.7331284e+08,2.3152768e+03,2.5782082e+07
3.0000000e+01,2.5980274e+08,6.4867857e+03,4.9781480e+07
4.0000000e+01,4.0508344e+08,1.2242002e+04,8.1483154e+07
5.0000000e+01,4.8688098e+08,1.7360331e+04,9.8168164e+07
6.0000000e+01,5.5813313e+08,2.1686437e+04,1.1001602e+08
7.0000000e+01,6.1704507e+08,2.3961821e+04,1.1788985e+08
7.5000000e+01,6.3968468e+08,2.5036087e+04,1.2192786e+08
8.0000000e+01,6.6478257e+08,2.6142284e+04,1.2586645e+08
9.0000000e+01,7.0358547e+08,2.8319886e+04,1.3405116e+08
1.0000000e+02,7.3577853e+08,2.9918064e+04,1.4204881e+08
1.5000000e+02,8.6139686e+08,3.5511003e+04,1.6178664e+08
2.0000000e+02,9.2306343e+08,3.8803177e+04,1.7616372e+08
3.0000000e+02,9.9536581e+08,4.3702855e+04,1.8999922e+08
4.0000000e+02,1.1195485e+09,4.9517463e+04,2.0444516e+08
5.0000000e+02,1.2428432e+09,5.6748152e+04,2.1840946e+08
6.0000000e+02,1.3228261e+09,6.2039362e+04,2.2954894e+08
7.0000000e+02,1.4132204e+09,6.6211948e+04,2.3791323e+08
8.0000000e+02,1.4563383e+09,6.7526021e+04,2.4444028e+08
9.0000000e+02,1.4799525e+09,7.0322413e+04,2.4762900e+08
1.0000000e+03,1.5059468e+09,7.2357560e+04,2.5054045e+08
2.0000000e+03,1.6420090e+09,7.7864837e+04,2.7113110e+08
3.0000000e+03,1.6934165e+09,8.1883507e+04,2.7716446e+08
4.0000000e+03,1.7184570e+09,8.3277801e+04,2.8618919e+08
5.0000000e+03,1.7250534e+09,8.5068715e+04,2.8837466e+08
6.0000000e+03,1.7523886e+09,8.5616087e+04,2.8896997e+08
7.0000000e+03,1.7634571e+09,8.5819871e+04,2.8956528e+08
8.0000000e+03,1.7718524e+09,8.7256653e+04,2.9020170e+08
9.0000000e+03,1.7954912e+09,8.7309490e+04,2.9084531e+08
1.0000000e+04,1.8064224e+09,8.7362327e+04,2.9292576e+08
